[165607483 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165608128 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165608131 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608131 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165608131 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165608133 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608133 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165608133 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165608265 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608265 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165608265 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165608267 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608267 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165608267 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165608268 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608268 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165608268 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165608369 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165608369 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165609238 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165609240 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609240 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165609240 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165609241 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609241 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165609241 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165609378 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609378 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165609379 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165609381 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609381 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165609381 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165609382 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609382 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165609382 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165609466 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165609466 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165610404 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165610407 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610407 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165610407 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165610409 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610409 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165610409 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165610429 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610429 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165610484 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165610487 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610487 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165610487 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165610488 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610488 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165610488 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165610602 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165610602 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165611589 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165611591 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165611591 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165611591 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165611593 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165611593 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165611593 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165611723 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165611723 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165611723 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165611725 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165611725 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165611725 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165611727 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165611727 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165611727 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165611817 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165611817 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165612754 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165612756 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165612756 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165612756 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165612758 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165612758 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165612758 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165612894 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165612894 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165612894 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165612896 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165612896 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165612896 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165612898 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165612898 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165612898 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165612991 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165612991 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165613927 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165613930 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165613930 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165613930 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165613931 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165613931 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165613931 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165614066 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165614066 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165614067 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = -1

[165614068 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165614068 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEMEMXFER/MSG_GET
[165614069 dsm.cpp  2446     0 000062FC] TWRC_XFERDONE

[165614070 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165614070 dsm.cpp  2391     0 000062FC] DG_IMAGE/DAT_IMAGEINFO/MSG_GET
[165614070 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

[165614188 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165614188 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_PENDINGXFERS/MSG_ENDXFER
[165615865 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS Count = 0

[165615890 dsm.cpp  2382     0 000062FC] TWAIN CS Scan App -> KODAK Scanner: i2000
[165615891 dsm.cpp  2391     0 000062FC] DG_CONTROL/DAT_USERINTERFACE/MSG_DISABLEDS
[165615891 dsm.cpp  2446     0 000062FC] TWRC_SUCCESS

